,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
3205,DESCONOCIDO,DESCONOCIDO,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.94,5.0,4.78,4.72,1.0,32,0,125,2,30
3206,within an hour,99%,t,Entire serviced apartment,"Amsterdam, Netherlands",t,t,t,1 bath,['phone'],4.91,4.91,4.86,4.68,2.0,237,333,386,1,1125
3207,within an hour,100%,t,Private room in rental unit,DESCONOCIDO,t,t,t,1 private bath,"['email', 'phone']",4.93,4.93,4.85,4.74,2.0,61,53,155,3,1125
3208,within a few hours,89%,t,Entire condo,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.76,5.0,4.9,4.52,2.0,22,168,535,4,31
3209,within an hour,99%,t,Entire serviced apartment,"Amsterdam, Netherlands",t,t,t,1 bath,['phone'],4.85,4.81,4.76,4.49,3.0,906,341,536,1,1125
3210,within an hour,99%,t,Private room in condo,"Amsterdam, Netherlands",t,f,t,1 private bath,"['email', 'phone']",4.9,4.95,4.93,4.74,2.0,296,14,221,2,31
3211,within an hour,50%,t,Entire townhouse,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.92,5.0,4.85,5.0,2.0,13,0,175,5,14
3212,within an hour,100%,t,Private room in rental unit,"Amsterdam, Netherlands",f,t,t,1 private bath,['phone'],4.52,4.45,4.8,4.49,2.0,297,96,236,2,1125
3213,within an hour,98%,t,Private room in serviced apartment,"Amsterdam, Netherlands",t,t,t,1 private bath,"['email', 'phone']",4.88,4.9,4.75,4.54,1.0,59,174,172,1,99
3214,within an hour,98%,t,Private room in home,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.76,4.83,4.64,4.7,2.0,148,67,99,3,1125
3215,within an hour,99%,t,Entire home,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.21,4.72,4.9,4.12,2.0,174,33,127,2,15
3216,DESCONOCIDO,100%,t,Houseboat,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.8,4.8,5.0,4.7,2.0,10,0,300,3,1125
3217,within a few hours,72%,t,Private room in houseboat,"Amsterdam, Netherlands",t,f,t,1 private bath,"['email', 'phone']",4.94,4.98,4.86,4.75,1.0,125,1,135,2,1125
3218,within an hour,100%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.23,4.49,4.85,4.18,1.0,61,84,179,2,1125
3219,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",f,t,t,1 private bath,"['phone', 'work_email']",4.71,4.36,4.86,4.21,2.0,28,91,294,1,1125
3220,within an hour,100%,t,Private room in home,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.98,4.98,4.81,4.78,3.0,295,61,152,2,15
3221,within a few hours,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,['phone'],4.67,5.0,5.0,4.78,2.0,9,20,194,4,1125
3222,within a few hours,92%,t,Shared room in houseboat,DESCONOCIDO,t,f,t,1 shared bath,"['email', 'phone']",4.92,4.81,5.0,4.69,1.0,26,34,325,3,180
3223,DESCONOCIDO,0%,t,Private room in home,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,['phone'],4.8,4.9,4.8,4.6,1.0,1,0,95,1,1125
3224,within a day,50%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,9,0,180,2,1125
3225,within an hour,90%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.71,4.94,4.92,4.72,1.0,294,203,142,1,31
3226,within an hour,100%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.74,4.94,4.83,4.55,1.0,217,157,197,2,1125
3227,within a day,50%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.96,5.0,4.96,4.83,1.0,23,0,180,2,1125
