,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
12045,within a day,DESCONOCIDO,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone', 'work_email']",5.0,5.0,5.0,4.0,3.0,1,59,817,7,1125
12046,DESCONOCIDO,67%,t,Entire rental unit,DESCONOCIDO,t,f,t,2 baths,"['email', 'phone']",4.6,4.8,4.9,4.6,3.0,10,179,1500,4,1125
12047,within a few hours,81%,t,Entire guesthouse,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.82,5.0,5.0,4.82,1.0,11,194,921,7,365
12048,within an hour,99%,t,Entire loft,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",5.0,4.95,4.84,4.74,1.0,38,266,1190,1,1125
12049,DESCONOCIDO,DESCONOCIDO,t,Entire serviced apartment,"Mexico City, Mexico",f,f,t,1 bath,['phone'],4.7,4.8,4.8,4.7,1.0,0,0,2500,3,1125
12050,within a few hours,94%,t,Entire rental unit,DESCONOCIDO,f,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,5.0,2.0,2,352,3500,2,1125
12051,within an hour,96%,t,Entire loft,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.93,4.96,4.98,4.96,2.0,57,291,1200,3,1125
12052,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Mexico City, Mexico",f,f,t,2 baths,"['email', 'phone']",4.89,4.91,4.87,4.69,4.0,54,350,1105,2,185
12053,within an hour,100%,t,Entire rental unit,DESCONOCIDO,t,f,t,1 bath,"['email', 'phone']",4.91,4.92,4.97,4.83,2.0,66,166,1271,2,1125
12054,DESCONOCIDO,0%,f,Entire rental unit,DESCONOCIDO,f,f,t,2.5 baths,['phone'],3.0,4.0,4.0,2.5,3.0,2,365,1200,2,1125
12055,within an hour,100%,f,Entire condo,"Mexico City, Mexico",f,t,t,1.5 baths,"['email', 'phone']",5.0,4.33,5.0,4.33,1.0,3,88,1500,500,1125
12056,within an hour,74%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.6,4.6,4.8,4.3,1.0,10,365,500,15,1125
12057,within an hour,95%,t,Private room in home,"Mexico City, Mexico",f,t,t,1 private bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,2,89,635,1,36
12058,within an hour,80%,t,Private room in rental unit,"London, United Kingdom",f,f,t,1 shared bath,"['email', 'phone']",4.0,4.5,5.0,4.5,1.0,2,88,584,15,365
12059,DESCONOCIDO,100%,t,Private room in rental unit,"Mexico City, Mexico",f,t,t,1 shared bath,"['email', 'phone']",4.5,5.0,5.0,4.83,1.0,6,240,350,1,365
12060,within an hour,99%,t,Entire rental unit,Mexico,t,f,t,2.5 baths,"['email', 'phone']",4.88,4.95,5.0,4.89,3.0,66,66,4176,4,365
12061,within an hour,100%,t,Entire rental unit,DESCONOCIDO,f,f,t,2 baths,['phone'],4.32,4.82,4.77,4.73,2.0,22,281,1171,1,1125
12062,DESCONOCIDO,100%,t,Shared room in condo,"Mexico City, Mexico",f,t,t,1 shared bath,"['email', 'phone', 'work_email']",4.7,4.8,4.8,4.7,1.0,0,47,866,7,365
12063,within a few hours,100%,t,Entire home,Mexico,f,f,t,2 baths,"['email', 'phone', 'work_email']",4.53,4.53,5.0,4.27,4.0,15,359,1844,4,1125
12064,DESCONOCIDO,DESCONOCIDO,t,Entire condo,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.78,4.98,4.85,4.8,2.0,46,81,699,2,30
12065,within an hour,98%,t,Entire rental unit,"Cuernavaca, Mexico",f,t,t,1.5 baths,"['email', 'phone']",4.5,4.2,3.8,4.5,1.0,10,148,251,1,30
12066,a few days or more,DESCONOCIDO,t,Private room in home,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,1,332,400,2,1125
12067,within an hour,96%,t,Entire rental unit,DESCONOCIDO,t,t,t,1 bath,"['email', 'phone']",4.96,4.98,4.89,4.88,1.0,56,252,1300,2,1125
12068,within a few hours,0%,t,Private room in home,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,365,509,2,365
12069,DESCONOCIDO,100%,t,Private room in townhouse,DESCONOCIDO,f,f,t,1 private bath,"['email', 'phone']",4.7,4.8,4.8,4.7,4.0,0,364,2400,1,1125
12070,within an hour,100%,t,Entire condo,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone', 'work_email']",4.95,5.0,4.82,5.0,2.0,22,285,1150,1,1125
12071,within an hour,100%,t,Entire condo,"Naucalpan de JuÃ¡rez, Mexico",t,t,t,1 bath,['phone'],4.67,4.87,4.93,4.73,2.0,15,355,1346,2,90
12072,DESCONOCIDO,100%,t,Private room in rental unit,"Mexico City, Mexico",f,t,t,1 shared bath,"['email', 'phone']",4.5,5.0,5.0,5.0,1.0,12,1,600,5,20
12073,within an hour,100%,t,Private room in home,"Mexico City, Mexico",t,t,t,1 private bath,"['email', 'phone']",4.9,4.93,4.98,4.82,1.0,60,137,993,2,1125
12074,DESCONOCIDO,100%,t,Private room in guest suite,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",5.0,5.0,5.0,4.5,1.0,2,272,999,2,365
12075,within an hour,93%,f,Entire loft,"Naucalpan, Mexico",f,f,t,1 bath,['phone'],4.81,4.65,4.72,4.51,2.0,43,165,833,2,1125
12076,within an hour,99%,t,Entire loft,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.89,4.95,4.82,4.9,2.0,82,310,759,1,1125
12077,DESCONOCIDO,DESCONOCIDO,f,Private room in hostel,DESCONOCIDO,f,t,t,1.5 shared baths,"['email', 'phone']",4.56,4.78,4.78,4.6,1.0,245,350,428,1,365
12078,DESCONOCIDO,DESCONOCIDO,t,Room in aparthotel,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone', 'work_email']",5.0,5.0,5.0,4.8,2.0,46,254,1411,2,30
12079,within an hour,97%,t,Private room in rental unit,"Mexico City, Mexico",t,f,t,1 private bath,"['email', 'phone']",4.86,5.0,5.0,4.82,1.0,22,165,436,1,365
12080,within an hour,100%,t,Entire home,DESCONOCIDO,f,f,t,5 baths,"['email', 'phone']",5.0,5.0,5.0,4.67,7.0,3,341,9259,2,1125
12081,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.96,4.96,4.73,4.96,2.0,26,52,260,4,1125
